エリア,ショップ名,URL,電話番号,レビューサイト,評価,レビュー数,専門・特徴,主なダイビングポイント,料金（2ダイブ目安）,備考
石垣島,S2クラブ石垣,https://www.s2club.net/,0980-87-8707,Googleマップ,4.9,252,マンタ、自社ボート、初心者対応,川平石崎マンタスクランブル、米原Wリーフ,"¥16,500",大手で自社船も大きい。じゃらん評価: 4.8
石垣島,うみの教室,https://www.umicoza.com/,0980-88-2424,Googleマップ,4.8,188,初心者向け、完全少人数制、体験ダイビング,川平エリア、米原エリア、青の洞窟,"¥15,000",PADI公認。1グループ貸切制。
石垣島,プライム・スクーバ石垣,https://www.primescuba-ishigaki.com/,0980-87-0839,Googleマップ,5,311,マンタ、完全少人数制、上級者向け,石崎マンタエリア、大崎ハナゴイリーフ,"¥16,000",1日のゲスト数限定のプレミアムサービス。
石垣島,ぷしぃぬしま石垣島,https://www.pushynushima.com/,0980-88-6363,Googleマップ,4.7,155,地形、マクロ、離島遠征,黒島、パナリ島、波照間島（不定期）,"¥15,400",離島遠征に強い。カメラ派に人気。
石垣島,サザンダイブ石垣島,https://www.southerndive.com/,0980-88-6380,Googleマップ,4.9,105,マンタ、ファンダイビング専門,川平石崎マンタスクランブル、大崎、名蔵湾,"¥16,000",経験豊富なガイド。リピーターが多い。
石垣島,ダイビングスクールてぃだ,https://www.tida-ishigaki.com/,0980-87-8414,Googleマップ,4.8,92,ライセンス講習、初心者、少人数,大崎、名蔵湾、竹富島南,"¥14,000",PADIライセンス講習に定評あり。
石垣島,オールブルー石垣島,https://www.all-blue.net/,0980-82-2233,Googleマップ,4.7,121,マンタ、体験ダイビング、青の洞窟,川平石崎マンタスクランブル、青の洞窟,"¥15,000",体験ダイビングとシュノーケルのセットあり。
石垣島,バイキングスクーバ喜界,https://vikingscuba-kikai.com/,0980-88-2830,Googleマップ,4.9,78,少人数制、のんびり、カメラ派,米原エリア、マンタポイント,"¥16,000",オーナーが写真家。フォト派に人気。
石垣島,ダイビングサービス大城,https://www.ds-oshiro.com/,0980-83-2949,Googleマップ,4.9,65,ベテラン、昔ながら、リピーター,大崎、名蔵湾、石崎マンタポイント,"¥15,000",40年以上の歴史を持つ老舗。
石垣島,Diving Shop RYAAAN,https://www.ryaaan.com/,0980-87-5756,Googleマップ,5,115,完全貸切、プライベート、初心者,川平、米原、大崎などリクエストベース,"¥18,000",1日1組限定のプライベート専門。
石垣島,Diving School 海講座,https://umikouza.com/,0980-83-7565,Googleマップ,4.8,88,ライセンス講習、初心者、女性に人気,大崎、名蔵湾、竹富島周辺,"¥14,300",PADI女性インストラクター常駐。
石垣島,石垣島ダイビングショップ an,https://an-diving.com/,0980-87-0820,Googleマップ,5,95,少人数、初心者、フォト派,大崎、名蔵湾、米原エリア,"¥15,000",丁寧なガイドが評判。
石垣島,石垣島ダイビングショップ Fun Sea,https://www.funsea.jp/,0980-88-6280,Googleマップ,4.7,76,自社ボート、マンタ、地形,マンタスクランブル、竹富島、黒島,"¥15,000",3隻の自社ボートでエリアを広くカバー。
石垣島,マリンサービスサンフィッシュ,https://www.mssunfish.com/,0980-88-2335,Googleマップ,4.6,68,マンタ、大物、体験ダイビング,川平石崎、米原、大崎,"¥14,000",料金が比較的リーズナブル。
石垣島,Diving Service WATANABE,https://dswatanabe.com/,0980-82-7585,Googleマップ,4.9,55,少人数、ベテランガイド,大崎、名蔵湾、ポイントは船長お任せ,"¥16,500",船長がポイントを決めるスタイル。
石垣島,Natuxy(ナチュクシー),https://natuxy.com/,0980-87-0833,Googleマップ,5,120,貸切、マーメイドフォト、青の洞窟,青の洞窟、幻の島,"¥16,000",マーメイドスーツでの撮影が人気。
石垣島,Diving Shop NOBU,https://www.nobuscuba-ishigaki.com/,0980-87-0329,Googleマップ,4.9,81,少人数、カメラ、初心者,大崎、名蔵、マンタポイント,"¥15,500",市街地からのアクセス良好。
石垣島,ダイブパラッパ,https://www.parappa.jp/,0980-88-2324,Googleマップ,4.8,60,のんびり、ブランクダイバー歓迎,川平、米原、大崎,"¥16,000",シニア、ブランクダイバーに優しい。
石垣島,Diving Shop umi-cha-club,https://umichaclub.com/,0980-88-2800,Googleマップ,5,45,完全少人数、初心者、体験,川平エリア,"¥15,000",川平エリア専門。
石垣島,ダイビングサービス海未来,https://www.umimiku.com/,0980-88-2337,Googleマップ,4.7,53,マクロ、地形,大崎、名蔵湾,"¥15,000",生物観察好きに人気。
石垣島,ヒートウェーブ石垣島,https://www.heatwave-ishigaki.com/,0980-88-5800,Googleマップ,4.6,70,マンタ、自社ボート,川平石崎マンタスクランブル,"¥15,400",マンタポイントに強い。
石垣島,カマンタダイビングサービス,https://kamanta.net/,0980-88-2282,Googleマップ,4.9,40,マンタ、川平エリア専門,川平石崎、米原,"¥15,000",川平エリアを熟知。
石垣島,エポック石垣,https://www.epoch-isg.com/,0980-88-5665,Googleマップ,4.8,35,少人数、初心者,大崎、名蔵湾,"¥14,500",アットホームな雰囲気。
石垣島,ダイビングサービス青い海,https://www.ishigaki-aoiumi.com/,0980-82-0262,Googleマップ,4.7,48,ファンダイビング、初心者,大崎、竹富島、名蔵湾,"¥14,300",料金がリーズナブル。
石垣島,ゆいマーレ,https://www.yuimare.com/,0980-83-5339,Googleマップ,4.6,110,体験ダイビング、シュノーケル,幻の島、竹富島、大崎,"¥15,000",幻の島上陸ツアーが人気。
石垣島,シーサー石垣店,https://www.seasir.com/ishigaki/,0980-88-5600,Googleマップ,4.5,130,大手、自社ボート、マンタ,マンタスクランブル、大崎,"¥16,800",沖縄本島にも展開する大手。安心感。
石垣島,Breeze石垣島,https://breeze-ishigaki.jp/,0980-87-0865,Googleマップ,4.9,85,マンタ、少人数、初心者,川平石崎マンタスクランブル、米原、大崎,"¥16,000",PADI公認。器材レンタル無料。
石垣島,Diving Shop Ryo,https://www.divingshop-ryo.com/,0980-87-8821,Googleマップ,5,50,少人数、フォト、初心者,大崎、名蔵湾,"¥15,000",市街地近く。
石垣島,オーシャンズ石垣島,https://ishigaki-oceans.com/,0980-87-0830,Googleマップ,4.8,63,ファンダイビング、カメラ派,大崎、名蔵、竹富島,"¥15,500",リクエストに柔軟に対応。
石垣島,スマイルフィッシュダイビング,https://smilefish-diving.com/,0980-87-5939,Googleマップ,5,70,貸切、初心者、ファミリー,大崎、名蔵湾,"¥17,000",1日2組限定。
石垣島,HEADS石垣,https://www.heads-ishigaki.com/,0980-87-0835,Googleマップ,4.9,44,少人数、リクエストベース,大崎、名蔵、竹富島,"¥15,000",1チーム4名までの少人数制。
石垣島,ダイブステーションゆいまーる,https://www.ds-yuimarlu.com/,0980-88-2082,Googleマップ,4.8,38,少人数、のんびり,川平エリア、米原,"¥15,000",川平エリア中心。
石垣島,石垣島ダイビングショップ モアナ,https://moana-ishigaki.jp/,0980-87-0337,Googleマップ,5,90,貸切、青の洞窟、体験,青の洞窟、米原,"¥16,500",青の洞窟体験ダイビングが人気。
石垣島,アクロス・ダイブ,https://acrosdive.com/,0980-88-2230,Googleマップ,4.7,41,ファンダイビング,大崎、名蔵湾,"¥14,500",経験豊富なダイバー向け。
石垣島,ダイビングチーム あなたの清,https://www.anatanokiyoshi.com/,0980-83-1577,Googleマップ,4.9,30,ベテラン、ユニーク、お任せ,非公開（船長お任せ）,要問合せ,口コミで人気のユニークな船長。
石垣島,DivingService anone,https://www.ds-anone.com/,0980-87-8086,Googleマップ,5,60,少人数制、女性インストラクター,大崎、名蔵湾、竹富島,"¥16,000",女性ならではのきめ細やかなサービス。
石垣島,シーフレンド,https://www.seafriend-ishigaki.com/,0980-82-4838,Googleマップ,4.5,55,竹富島観光セット、体験,竹富島周辺,"¥15,000",竹富島観光とのセットプランがある。
石垣島,ジャンキスダイビング,https://www.junkies-diving.com/,0980-88-2334,Googleマップ,4.8,49,少人数、地形、マクロ,大崎、名蔵湾,"¥15,500",リピーター中心。
石垣島,blue space,https://www.blue-space.jp/,0980-87-0331,Googleマップ,4.9,75,マンタ、少人数、初心者,川平石崎マンタスクランブル、米原,"¥16,000",北部エリアに強い。
石垣島,ココモ石垣島,https://www.cocomo-ishigaki.com/,0980-88-5858,Googleマップ,4.6,95,体験ダイビング、幻の島,幻の島、石西礁湖,"¥14,800",半日体験コースが人気。
宮古島,マレア宮古島,https://www.marea-miyako.jp/,0980-74-7033,Googleマップ,4.7,155,大手、自社ボート、初心者〜上級者、地形,伊良部島・下地島エリア,"¥17,600",全国展開の大型店。PADIライセンス講習も人気。
宮古島,アイランドエキスパート宮古島,https://www.i-e-m.net/,0980-74-3380,Googleマップ,4.9,92,地形専門、少人数制、上級者向け,魔王の宮殿、通り池、アントニオガウディ,"¥16,500",地形好きのベテランダイバーに絶大な支持。
宮古島,宮古島ダイビング AQUA,https://www.aqua-story.com/,0980-76-2757,Googleマップ,4.8,121,初心者専門、体験ダイビング、完全貸切制,来間島エリア、宮古島南部,"¥15,000",1グループ貸切なのでプライベート感が高い。
